,0,1,2,3,4,5
0,ACT Score,2020,2019,2018,2017,2016
1,36,100,100,100,99,99
2,35,99,99,99,99,99
3,34,99,99,99,99,99
4,33,97,98,98,98,98
5,32,96,97,96,97,97
6,31,94,95,95,95,96
7,30,92,93,93,93,94
8,29,90,91,91,91,92
9,28,88,88,88,88,89
10,27,85,85,85,85,86
11,26,82,82,82,82,83
12,25,78,78,78,78,79
13,24,74,74,74,73,74
14,23,70,69,69,68,69
15,22,65,64,64,63,64
16,21,60,58,58,57,58
17,20,54,52,52,51,51
18,19,48,46,46,44,45
19,18,42,40,40,38,39
20,17,36,33,34,31,32
21,16,30,27,27,25,26
22,15,24,20,21,19,19
23,14,17,14,15,13,14
24,13,11,9,9,7,8
25,12,6,4,4,3,4
26,11,2,1,1,1,2
27,10,1,1,1,1,1
28,9,1,1,1,1,1
29,8,1,1,1,1,1
30,7,1,1,1,1,1
31,6,1,1,1,1,1
32,5,1,1,1,1,1
33,4,1,1,1,1,1
34,3,1,1,1,1,1
35,2,1,1,1,1,1
36,1,1,1,1,1,1
